cat	target_uuid	provider_id	target_name	prep	donor_uuid	source_key	source_record_id	donor_name	delta(kcal,P,C,F)	keyVM/24
veg	20000000-0000-4000-8000-000000000340	apex-protocol:generic:cauliflower-raw	Cauliflower florets, raw	as_sold	24a4640e-94df-5413-a8eb-1841d13b4036	usda-foundation	2685573	Cauliflower, raw	(-2.148,-0.279,-0.247,-0.043)	10
veg	20000000-0000-4000-8000-000000000341	apex-protocol:generic:cauliflower-boiled	Cauliflower florets, boiled, no added oil	cooked	00be8b78-311c-5966-a641-fe6331f8ffe0	usda-sr-legacy	170397	Cauliflower, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000348	apex-protocol:generic:carrots-raw	Carrots, raw	as_sold	c1c4392d-5e95-5ded-95a7-96074a36a159	usda-sr-legacy	170393	Carrots, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000349	apex-protocol:generic:carrots-boiled	Carrots, boiled, no added oil	cooked	72d835aa-ebd5-5ee8-9047-0fafe04c61db	usda-sr-legacy	170394	Carrots, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000356	apex-protocol:generic:zucchini-raw	Zucchini with skin, raw	as_sold	7f4dd34e-b19f-5894-ac48-77c0a6302561	usda-foundation	2685568	Squash, summer, green, zucchini, includes skin, raw	(2,-0.226,0.16,-0.115)	10
veg	20000000-0000-4000-8000-000000000357	apex-protocol:generic:zucchini-boiled	Zucchini with skin, boiled, no added oil	cooked	3dcebd29-12d6-5e58-aa19-261b3ef106f4	usda-sr-legacy	169292	Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000364	apex-protocol:generic:red-bell-pepper-raw	Red bell pepper, raw	as_sold	0fcedb55-c40a-5aac-a1fc-33eea197b851	usda-sr-legacy	170108	Peppers, sweet, red, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000365	apex-protocol:generic:red-bell-pepper-boiled	Red bell pepper, boiled, no added oil	cooked	b395c675-da95-5121-9c40-4cf464838f19	usda-sr-legacy	170110	Peppers, sweet, red, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000372	apex-protocol:generic:asparagus-raw	Asparagus, raw	as_sold	466cdf60-e291-5c52-b192-ea244013fe32	usda-sr-legacy	168389	Asparagus, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000373	apex-protocol:generic:asparagus-boiled	Asparagus, boiled, no added oil	cooked	88281225-b289-5336-a37d-8a0796685963	usda-sr-legacy	168390	Asparagus, cooked, boiled, drained	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000380	apex-protocol:generic:brussels-sprouts-raw	Brussels sprouts, raw	as_sold	7b63e8e1-78eb-5343-aa9d-3b593ca9c20c	usda-sr-legacy	170383	Brussels sprouts, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000381	apex-protocol:generic:brussels-sprouts-boiled	Brussels sprouts, boiled, no added oil	cooked	b0963964-c856-5353-aa40-a32f82e90cf6	usda-sr-legacy	169971	Brussels sprouts, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000388	apex-protocol:generic:spinach-raw	Spinach leaves, raw	as_sold	f5819cf1-17ba-5235-8bce-f9e1c9a40f0c	usda-sr-legacy	168462	Spinach, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000389	apex-protocol:generic:spinach-boiled	Spinach leaves, boiled, no added oil	cooked	015cab5b-0822-56a4-ac16-43b2e65ec401	usda-sr-legacy	168463	Spinach, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000396	apex-protocol:generic:green-beans-raw	Green beans, raw	as_sold	b1e88b16-7910-5485-9f75-3a551354b7d1	usda-sr-legacy	169961	Beans, snap, green, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000397	apex-protocol:generic:green-beans-boiled	Green beans, boiled, no added oil	cooked	0be23708-97a1-591e-94dc-fe27e029ef9a	usda-sr-legacy	169141	Beans, snap, green, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000404	apex-protocol:generic:green-peas-raw	Green peas, raw	as_sold	efa4708e-29c6-5c9a-a0ae-b473d04bfe2c	usda-sr-legacy	170419	Peas, green, raw	(0,0,0.05,0)	22
veg	20000000-0000-4000-8000-000000000405	apex-protocol:generic:green-peas-boiled	Green peas, boiled, no added oil	cooked	2eff49de-006b-5d3e-8772-25534b70dfa5	usda-sr-legacy	170420	Peas, green, cooked, boiled, drained, without salt	(0,0,0.03,0)	22
veg	20000000-0000-4000-8000-000000000420	apex-protocol:generic:eggplant-raw	Eggplant, raw	as_sold	c060af6b-2dff-531d-adc3-7a8b681b0c16	usda-foundation	2685577	Eggplant, raw	(1.085,-0.128,-0.481,-0.06)	10
veg	20000000-0000-4000-8000-000000000421	apex-protocol:generic:eggplant-boiled	Eggplant, boiled, no added oil	cooked	ab1fc4e5-2e99-5783-a354-dc6b0aeae65b	usda-sr-legacy	169229	Eggplant, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000428	apex-protocol:generic:white-mushrooms-raw	White mushrooms, raw	as_sold	5ceef4da-d4c2-5c5a-9b62-1c32663a48b1	usda-sr-legacy	169251	Mushrooms, white, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000429	apex-protocol:generic:white-mushrooms-boiled	White mushrooms, boiled, no added oil	cooked	23eae3ea-9807-51a3-bb57-b9e96583811f	usda-sr-legacy	169252	Mushrooms, white, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000436	apex-protocol:generic:white-cabbage-raw	White cabbage, raw	as_sold	fdcc7f5f-3955-54c2-9efd-28c39c468775	usda-sr-legacy	169975	Cabbage, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000437	apex-protocol:generic:white-cabbage-boiled	White cabbage, boiled, no added oil	cooked	1f829a56-7c58-5783-89b2-6bac34451fa3	usda-sr-legacy	169976	Cabbage, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000444	apex-protocol:generic:kale-raw	Kale, raw	as_sold	b1ad42a7-4ec5-5926-8355-49c3e85dc5d7	usda-foundation	323505	Kale, raw	(0,0,0,0)	19
veg	20000000-0000-4000-8000-000000000445	apex-protocol:generic:kale-boiled	Kale, boiled, no added oil	cooked	de11347e-1466-5b33-8114-8bf4be4bd075	usda-sr-legacy	169238	Kale, cooked, boiled, drained, without salt	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000452	apex-protocol:generic:beets-raw	Beets, raw	as_sold	8a04dda1-7cb7-52ef-ab24-f896e8512e64	usda-sr-legacy	169145	Beets, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000453	apex-protocol:generic:beets-boiled	Beets, boiled, no added oil	cooked	0cb29939-6923-5f61-8259-c2a1255b0251	usda-sr-legacy	169146	Beets, cooked, boiled, drained	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000460	apex-protocol:generic:onions-raw	Onions, raw	as_sold	fea3e958-c067-5dc1-9e48-18706f56f157	usda-sr-legacy	170000	Onions, raw	(0,0,0,0)	22
veg	20000000-0000-4000-8000-000000000461	apex-protocol:generic:onions-boiled	Onions, boiled, no added oil	cooked	d4ec6df9-3dbb-547f-bf7e-5e8477e469c8	usda-sr-legacy	170001	Onions, cooked, boiled, drained, without salt	(0,0,-0.05,0)	22
veg	20000000-0000-4000-8000-000000000468	apex-protocol:generic:garlic-raw	Garlic, raw	as_sold	a7bf492c-2fac-5667-b8f3-68c0130920e7	usda-sr-legacy	169230	Garlic, raw	(0,0,-0.04,0)	22
veg	20000000-0000-4000-8000-000000000469	apex-protocol:generic:white-potato-raw	White potato with skin, raw	as_sold	600f2cfe-b231-5848-8b9a-b7be073efef2	usda-sr-legacy	170026	Potatoes, flesh and skin, raw	(0,0,-0.01,0)	22
veg	20000000-0000-4000-8000-000000000477	apex-protocol:generic:sweet-potato-raw	Sweet potato, raw	as_sold	e1983361-f064-5e48-94cd-ab43bf109c98	usda-sr-legacy	168482	Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)	(0,0,0.02,0)	22
veg	20000000-0000-4000-8000-000000000478	apex-protocol:generic:sweet-potato-boiled	Sweet potato, boiled, no added oil	cooked	84a62b14-fb61-5c75-b9d8-5a0eb9cafb3a	usda-sr-legacy	168484	Sweet potato, cooked, boiled, without skin	(0,0,0.02,0)	22
veg	10000000-0000-4000-8000-000000000066	apex-curated:swiss-retail-green-onion-reference	Green onion, raw	as_sold	928386a1-e524-58be-818c-fbcb8d96299d	usda-sr-legacy	170005	Onions, spring or scallions (includes tops and bulb), raw	(0,0,0,0)	22
veg	10000000-0000-4000-8000-000000000072	apex-curated:swiss-retail-cucumber-reference	Cucumber with peel, raw	as_sold	3e80b508-2185-5eb6-9de7-b5f13abc64a8	usda-sr-legacy	168409	Cucumber, with peel, raw	(0,0,0,0)	22
veg	10000000-0000-4000-8000-000000000075	apex-curated:swiss-retail-tomato-reference	Tomato, raw	as_sold	3a6dbcff-08fa-5d6a-ad70-614ff2b5d9ac	usda-sr-legacy	170457	Tomatoes, red, ripe, raw, year round average	(0,0,0,0)	22
grain	10000000-0000-4000-8000-000000000005	apex-common:10000000-0000-4000-8000-000000000005	Bulgur, cooked	cooked	e6b63ad6-412a-5044-b7aa-7e5508df9189	usda-sr-legacy	170287	Bulgur, cooked	(0,-0.02,-0.02,0.04)	22
grain	20000000-0000-4000-8000-000000000029	apex-protocol:generic:quinoa-dry	Quinoa, dry	dry	298f092c-87a7-5e56-afd9-3acd38bb099a	usda-sr-legacy	168874	Quinoa, uncooked	(0,0.02,-0.04,-0.03)	21
grain	20000000-0000-4000-8000-000000000486	apex-protocol:generic:quinoa-cooked	Quinoa, cooked	cooked	2a53ae9e-6e7a-5c4a-9705-388419ed9262	usda-sr-legacy	168917	Quinoa, cooked	(0,0,0,0)	21
grain	20000000-0000-4000-8000-000000000030	apex-protocol:generic:couscous-dry	Couscous, dry	dry	566d22d4-2035-51b9-85bc-30849d17647c	usda-sr-legacy	169699	Couscous, dry	(0,-0.04,0.03,0.04)	18
grain	20000000-0000-4000-8000-000000000487	apex-protocol:generic:couscous-cooked	Couscous, cooked	cooked	aa784d36-7232-5913-ac0c-ecf77d6f7b17	usda-sr-legacy	169700	Couscous, cooked	(0,0,0.02,0)	22
grain	20000000-0000-4000-8000-000000000485	apex-protocol:generic:brown-rice-cooked	Brown rice, cooked	cooked	78fa07c9-6bc4-5e4a-94cf-a83620dc6f89	usda-sr-legacy	169704	Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)	(0,0,-0.02,0)	22
grain	20000000-0000-4000-8000-000000000488	apex-protocol:generic:wholegrain-pasta-cooked	Wholegrain pasta, cooked	cooked	dcbf8b12-bb79-5c2e-96e8-516bdcf1a9ed	usda-sr-legacy	168910	Pasta, whole-wheat, cooked (Includes foods for USDA's Food Distribution Program)	(0,0,-0.03,0)	22
grain	20000000-0000-4000-8000-000000000489	apex-protocol:generic:pearl-barley-cooked	Pearl barley, cooked	cooked	06ffbfe0-c31f-5b76-9c54-55bc778b2b4f	usda-sr-legacy	170285	Barley, pearled, cooked	(0,0,0.02,0)	22
grain	20000000-0000-4000-8000-000000000490	apex-protocol:generic:millet-cooked	Millet, cooked	cooked	614d38dc-076f-5431-b62c-b62abc8e0e10	usda-sr-legacy	168871	Millet, cooked	(0,0,-0.03,0)	22
legume	20000000-0000-4000-8000-000000000032	apex-protocol:generic:lentils-cooked	Lentils, cooked	cooked	ed8c6392-0468-5881-b989-cae30694a535	usda-sr-legacy	172421	Lentils, mature seeds, cooked, boiled, without salt	(0,0.02,0.03,-0.02)	22
legume	20000000-0000-4000-8000-000000000033	apex-protocol:generic:chickpeas-cooked	Chickpeas, cooked	cooked	7acd4a90-9c76-5e4c-9493-243dcc1a766d	usda-sr-legacy	173757	Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt	(0,-0.04,0.02,-0.01)	22
legume	20000000-0000-4000-8000-000000000034	apex-protocol:generic:kidney-beans-cooked	Kidney beans, cooked	cooked	54b75575-bde2-540b-ad69-92fb9547aa2f	usda-sr-legacy	173740	Beans, kidney, all types, mature seeds, cooked, boiled, without salt	(0,-0.03,0,0)	22
nuts	10000000-0000-4000-8000-000000000012	apex-common:10000000-0000-4000-8000-000000000012	Walnuts	as_sold	fa321a1f-dbb6-507f-b60a-a00fe41a9e5e	usda-sr-legacy	170187	Nuts, walnuts, English	(0,0.03,0.01,0.01)	22
nuts	10000000-0000-4000-8000-000000000059	apex-curated:swiss-retail-hemp-seeds-reference	Hemp seeds, hulled	as_sold	1713b1b7-301f-5acf-9403-8fb2f2ec5864	usda-sr-legacy	170148	Seeds, hemp seed, hulled	(0,0,0,0)	17
nuts	10000000-0000-4000-8000-000000000060	apex-curated:swiss-retail-flaxseed-reference	Flaxseed	as_sold	64d6d78d-c9d9-5116-aa5b-2373fa2556b9	usda-sr-legacy	169414	Seeds, flaxseed	(0,0,0,0)	22
nuts	10000000-0000-4000-8000-000000000062	apex-curated:swiss-retail-pumpkin-seeds-reference	Pumpkin seeds, hulled	as_sold	5aa4a84d-495b-5fbe-8371-590a5d47e5d2	usda-sr-legacy	170556	Seeds, pumpkin and squash seed kernels, dried	(0,0,0,0)	22
nuts	10000000-0000-4000-8000-000000000064	apex-curated:swiss-retail-coconut-flakes-reference	Coconut flakes, unsweetened	as_sold	7c38450f-be93-5efb-99a0-8d21c7c26dab	usda-sr-legacy	170170	Nuts, coconut meat, dried (desiccated), not sweetened	(0,0,0,0)	22
nuts	10000000-0000-4000-8000-000000000079	apex-curated:swiss-retail-almonds-reference	Almonds	as_sold	8dfb8c6c-b513-5d17-82d4-509d26787d9f	usda-sr-legacy	170567	Nuts, almonds	(0,0,0,0)	22
nuts	10000000-0000-4000-8000-000000000080	apex-curated:swiss-retail-chia-seeds-reference	Chia seeds	as_sold	e3e96d11-a928-58e2-a18a-87d29e4a3d15	usda-sr-legacy	170554	Seeds, chia seeds, dried	(0,0,0,0)	16
dairy	10000000-0000-4000-8000-000000000006	apex-common:10000000-0000-4000-8000-000000000006	Greek yoghurt, plain	as_sold	f21a9af6-1529-528b-9759-22889688c635	usda-sr-legacy	171304	Yogurt, Greek, plain, whole milk	(0,0,0.08,0)	22
