catalog_order,id,name_en,name_ro,name_th,record_type,primary_category,all_categories,disciplines,hyrox_station_order,hyrox_station_name,equipment,muscles,movement_pattern,entity_type,prescription_mode,default_sets,default_reps_or_duration,unit,default_rest_seconds,per_side,loadable,increment_kg,can_fail_safely,needs_spotter,needs_safeties,contraindications,technical_complexity,coached_only,tempo_applies,tempo_class,review_status,evidence_source_ids,owner_csv_exact_match,owner_csv_disposition,owner_csv_source_name,english_aliases,notes
16,barbell_back_squat,Barbell Back Squat,Genuflexiuni cu bara la spate,แบ็กสควอตด้วยบาร์เบล,movement,weights,powerlifting; strength; weights,strength,,,Barbell · Plates · Rack,quads; glutes; lowerBack; adductors; hamstrings; abs,squat,resistance_dynamic,tempo_reps,4,8,reps,150,false,true,2.5,false,false,true,ankle_dorsiflexion; hip_deep_flexion; knee_deep_flexion; lumbar_flexion,4,false,true,standard_compound,internally_reviewed,,no,,,,Needs safeties to be failed. Without a rack the generator must not prescribe it.
17,barbell_front_squat,Barbell Front Squat,Genuflexiuni cu bara în față,ฟรอนต์สควอตด้วยบาร์เบล,movement,weights,strength; weights,strength,,,Barbell · Plates · Rack,quads; glutes; upperBack; abs,squat,resistance_dynamic,tempo_reps,4,7,reps,120,false,true,2.5,false,false,true,ankle_dorsiflexion; hip_deep_flexion; knee_deep_flexion; wrist,5,true,true,standard_compound,internally_reviewed,,no,,,,
18,goblet_squat,Goblet Squat,Genuflexiuni goblet,กอบเล็ตสควอต,movement,weights,strength; weights,strength,,,Dumbbells,quads; glutes; upperBack; abs; obliques,squat,resistance_dynamic,tempo_reps,4,12,reps,90,false,true,2,true,false,false,ankle_dorsiflexion; hip_deep_flexion; knee_deep_flexion,2,false,true,standard_compound,internally_reviewed,,no,,,Weighted Squat,The safest loaded squat: you simply put it down.
19,heel_elevated_goblet_squat,Heel-Elevated Goblet Squat,Heel-Elevated Goblet Squat,Heel-Elevated Goblet Squat,movement,weights,strength; weights,strength,,,Dumbbells,quads; glutes,squat,resistance_dynamic,tempo_reps,4,12,reps,90,false,true,2,true,false,false,hip_deep_flexion,2,false,true,standard_compound,internally_reviewed,,no,,,Heel-Elevated Goblet Squat (backpack),Elevating the heels lets a stiff ankle reach depth without the knee wandering.
20,hack_squat,Hack Squat,Genuflexiuni la hack squat,แฮ็กสควอต,movement,machine,strength; machine,strength,,,Hack Squat Machine,quads; glutes,squat,resistance_dynamic,tempo_reps,4,10,reps,120,false,true,5,true,false,false,hip_deep_flexion; knee_deep_flexion,1,false,true,standard_compound,internally_reviewed,,no,,,,
21,leg_press,Leg Press,Presă pentru picioare,เลกเพรส,movement,machine,strength; machine,strength,,,Leg Press Machine,quads; glutes; hamstrings,squat,resistance_dynamic,tempo_reps,4,13,reps,90,false,true,5,true,false,false,hip_deep_flexion; knee_deep_flexion,1,false,true,standard_compound,internally_reviewed,,no,,,,Lowest skill loaded squat pattern. Good first exposure for a novice in a gym.
22,bodyweight_squat,Bodyweight Squat,Bodyweight Squat,Bodyweight Squat,movement,calisthenics,strength; calisthenics,calisthenics; strength,,,Bodyweight,quads; glutes,squat,resistance_dynamic,tempo_reps,4,19,reps,60,false,false,0,true,false,false,ankle_dorsiflexion; hip_deep_flexion,1,false,true,standard_compound,internally_reviewed,,no,,,,
23,sit_to_stand,Sit-to-Stand,Sit-to-Stand,Sit-to-Stand,movement,strength,strength,strength,,,Chair,quads; glutes,squat,resistance_dynamic,tempo_reps,4,9,reps,60,false,false,0,true,false,false,hip_deep_flexion,1,false,true,standard_compound,internally_reviewed,,no,,,Supported Sit-to-Stand,The capability version: getting out of a chair without hands.
24,pistol_squat,Pistol Squat,Genuflexiuni pistol,พิสตอลสควอต,movement,calisthenics,calisthenics,calisthenics,,,Bodyweight,quads; glutes; abs; obliques; hamstrings,squat,resistance_dynamic,tempo_reps,4,6,reps,120,true,false,0,true,false,false,ankle_dorsiflexion; hip_deep_flexion; knee_deep_flexion,5,true,true,standard_compound,internally_reviewed,,no,,,,
25,smith_machine_squat,Smith Machine Squat,Smith Machine Squat,Smith Machine Squat,movement,machine,strength; machine,strength,,,Smith Machine,quads; glutes,squat,resistance_dynamic,tempo_reps,4,10,reps,120,false,true,2.5,true,false,false,knee_deep_flexion,2,false,true,standard_compound,internally_reviewed,,no,,,,
26,bulgarian_split_squat,Bulgarian Split Squat,Genuflexiuni bulgărești,บัลแกเรียนสปลิตสควอต,movement,weights,strength; weights,strength,,,Dumbbells · Bench,quads; glutes; adductors; hamstrings,lunge,resistance_dynamic,tempo_reps,4,10,reps,120,true,true,2,true,false,false,knee_deep_flexion,3,false,true,standard_compound,internally_reviewed,,no,,,Bulgarian Split Squat (backpack),Brutal for its load. Rarely belongs in a thirty-minute session next to a squat.
27,split_squat,Split Squat,Split Squat,Split Squat,movement,weights,strength; weights,strength,,,Dumbbells,quads; glutes,lunge,resistance_dynamic,tempo_reps,4,10,reps,90,true,true,2,true,false,false,knee_deep_flexion,2,false,true,standard_compound,internally_reviewed,,no,,,,
28,reverse_lunge,Reverse Lunge,Fandări inverse cu gantere,ลันจ์ถอยหลังด้วยดัมเบล,movement,weights,strength; weights,strength,,,Dumbbells,quads; glutes; hamstrings,lunge,resistance_dynamic,tempo_reps,4,10,reps,90,true,true,2,true,false,false,knee_deep_flexion,2,false,true,standard_compound,internally_reviewed,,no,,,Reverse Lunge; Supported Reverse Lunge,"Kinder to the knee than a forward lunge, so it is the default lunge for anyone reporting knee niggles."
29,walking_lunge,Walking Lunge,Fandări din mers cu gantere,เดินลันจ์ด้วยดัมเบล,movement,weights,strength; weights,strength,,,Dumbbells · Floor Space,quads; glutes; hamstrings,lunge,resistance_dynamic,tempo_reps,4,10,reps,120,true,true,2,true,false,false,knee_deep_flexion,3,false,true,standard_compound,internally_reviewed,,no,,,Walking Front Lunge; Walking Lunges (backpack),
30,forward_lunge,Forward Lunge,Forward Lunge,Forward Lunge,movement,weights,strength; weights,strength,,,Dumbbells,quads; glutes,lunge,resistance_dynamic,tempo_reps,4,10,reps,90,true,true,2,true,false,false,knee_deep_flexion,3,false,true,standard_compound,internally_reviewed,,no,,,Front Lunge,
31,step_up,Step-Up,Step-Up,Step-Up,movement,weights,strength; weights,strength,,,Dumbbells,quads; glutes,lunge,resistance_dynamic,tempo_reps,4,10,reps,90,true,true,2,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,,Box height is the hidden variable: higher means more glute.
32,smith_split_squat,Smith Machine Split Squat,Smith Machine Split Squat,Smith Machine Split Squat,movement,machine,strength; machine,strength,,,Smith Machine,quads; glutes,lunge,resistance_dynamic,tempo_reps,4,10,reps,90,true,true,2.5,true,false,false,,2,false,true,standard_compound,internally_reviewed,,yes,already_canonical,Smith Machine Split Squat,,"Removes the balance limit, so the legs fail before the stance does."
33,barbell_bench_press,Barbell Bench Press,Împins la piept cu bara,เบนช์เพรสด้วยบาร์เบล,movement,weights,powerlifting; strength; weights,strength,,,Barbell · Plates · Bench · Rack,chest; triceps; frontDelts,horizontal_push,resistance_dynamic,tempo_reps,4,8,reps,120,false,true,2.5,false,true,true,shoulder_press,3,false,true,standard_compound,internally_reviewed,,no,,,,Cannot be failed alone without safeties. The generator checks this before prescribing near failure.
34,dumbbell_bench_press,Flat Dumbbell Press,Flat Dumbbell Press,Flat Dumbbell Press,movement,weights,strength; weights,strength,,,Dumbbells · Bench,chest; triceps; frontDelts,horizontal_push,resistance_dynamic,tempo_reps,4,10,reps,90,false,true,2,true,false,false,shoulder_press,2,false,true,standard_compound,internally_reviewed,,no,,,,
35,incline_dumbbell_press,Incline Dumbbell Press,Împins înclinat cu gantere,อินไคลน์ดัมเบลเพรส,movement,weights,strength; weights,strength,,,Dumbbells · Adjustable Bench,chest; frontDelts; triceps,horizontal_push,resistance_dynamic,tempo_reps,4,10,reps,90,false,true,2,true,false,false,shoulder_press,2,false,true,standard_compound,internally_reviewed,,no,,,,
36,dumbbell_floor_press,Dumbbell Floor Press,Dumbbell Floor Press,Dumbbell Floor Press,movement,weights,strength; weights,strength,,,Dumbbells,chest; triceps; frontDelts,horizontal_push,resistance_dynamic,tempo_reps,4,12,reps,60,false,true,2,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,,"The floor limits the range, which is why it suits a cranky shoulder and a home gym with no bench."
37,machine_chest_press,Machine Chest Press,Împins la piept la aparat,เครื่องดันอก,movement,machine,strength; machine,strength,,,Chest Press Machine,chest; triceps; frontDelts,horizontal_push,resistance_dynamic,tempo_reps,4,13,reps,90,false,true,2.5,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,,
38,incline_smith_press,Incline Smith Machine Press,Incline Smith Machine Press,Incline Smith Machine Press,movement,machine,strength; machine,strength,,,Smith Machine · Adjustable Bench,chest; frontDelts; triceps,horizontal_push,resistance_dynamic,tempo_reps,4,10,reps,90,false,true,2.5,true,false,false,shoulder_press,2,false,true,standard_compound,internally_reviewed,,no,,,,
39,push_up,Push-Up,Flotări,วิดพื้น,movement,calisthenics,strength; calisthenics; hiit,calisthenics; strength; hiit,,,Bodyweight,chest; triceps; frontDelts; abs; obliques,horizontal_push,resistance_dynamic,tempo_reps,4,15,reps,60,false,false,0,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,Push-Ups; Strict Push-Up; Tempo Push-Up,
40,incline_push_up,Incline Push-Up,Incline Push-Up,Incline Push-Up,movement,calisthenics,strength; calisthenics,calisthenics; strength,,,Bodyweight,chest; triceps; frontDelts,horizontal_push,resistance_dynamic,tempo_reps,4,15,reps,60,false,false,0,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,,The regression that keeps the movement rather than replacing it.
41,knee_push_up,Knee Push-Up,Knee Push-Up,Knee Push-Up,movement,calisthenics,calisthenics,calisthenics,,,Bodyweight,chest; triceps,horizontal_push,resistance_dynamic,tempo_reps,4,12,reps,60,false,false,0,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,,
42,feet_elevated_push_up,Feet-Elevated Push-Up,Flotări declinate,วิดพื้นยกเท้า,movement,calisthenics,strength; calisthenics,calisthenics; strength,,,Bodyweight,chest; frontDelts; triceps; abs; obliques,horizontal_push,resistance_dynamic,tempo_reps,4,12,reps,90,false,false,0,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,Feet-Elevated Push-Up; Feet-Elevated Push-Ups,
43,weighted_push_up,Weighted Push-Up,Weighted Push-Up,Weighted Push-Up,movement,weights,strength; calisthenics; weights,calisthenics; strength,,,Backpack,chest; triceps; frontDelts; abs; obliques,horizontal_push,resistance_dynamic,tempo_reps,4,9,reps,90,false,true,2.5,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,"Weighted Push-Up on Handles; Weighted Pushups; Weighted Pushups (handles, backpack)",
44,diamond_push_up,Diamond Push-Up,Flotări diamant,วิดพื้นไดมอนด์,movement,calisthenics,calisthenics,calisthenics,,,Bodyweight,triceps; chest; frontDelts,horizontal_push,resistance_dynamic,tempo_reps,4,12,reps,60,false,false,0,true,false,false,elbow; wrist,2,false,true,standard_compound,internally_reviewed,,no,,,Diamond Pushups; Diamond or Close-Grip Push-Up,
45,dip,Parallel Bar Dip,Flotări la paralele,ดิพบนบาร์คู่,movement,calisthenics,street; strength; calisthenics,calisthenics; strength,,,Dip Bars,chest; triceps; frontDelts,horizontal_push,resistance_dynamic,tempo_reps,4,9,reps,90,false,true,2.5,true,false,false,shoulder_press,3,false,true,standard_compound,internally_reviewed,,no,,,Straight-Bar Dip,Hard on the shoulder at depth. Excluded whenever the front of the shoulder is symptomatic.
46,cable_fly,Cable Fly,Fluturări cu gantere,ดัมเบลฟลาย,movement,machine,strength; machine,strength,,,Cable Stack,chest; frontDelts,isolation_upper,resistance_dynamic,tempo_reps,3,13,reps,60,false,true,1,true,false,false,shoulder_press,2,false,true,single_joint,internally_reviewed,,no,,,Cable Fly; cable_crossover,
47,barbell_overhead_press,Barbell Overhead Press,Împins deasupra capului cu bara,โอเวอร์เฮดเพรสด้วยบาร์เบล,movement,weights,strength; weights,strength,,,Barbell · Plates · Rack,frontDelts; triceps; chest; abs; obliques; sideDelts,vertical_push,resistance_dynamic,tempo_reps,4,7,reps,120,false,true,2.5,true,false,false,shoulder_overhead,4,false,true,standard_compound,internally_reviewed,,no,,,,2.5 kg is a large jump here. Fractional plates matter more on this lift than anywhere else.
48,dumbbell_overhead_press,Seated Dumbbell Press,Seated Dumbbell Press,Seated Dumbbell Press,movement,weights,strength; weights,strength,,,Dumbbells · Adjustable Bench,frontDelts; triceps,vertical_push,resistance_dynamic,tempo_reps,4,10,reps,90,false,true,2,true,false,false,shoulder_overhead,2,false,true,standard_compound,internally_reviewed,,no,,,Dumbbell Overhead Press,
49,machine_shoulder_press,Machine Shoulder Press,Împins pentru umeri la aparat,เครื่องดันไหล่,movement,machine,strength; machine,strength,,,Shoulder Press Machine,frontDelts; triceps; sideDelts,vertical_push,resistance_dynamic,tempo_reps,4,10,reps,90,false,true,2.5,true,false,false,shoulder_overhead,1,false,true,standard_compound,internally_reviewed,,no,,,,
50,landmine_press,Landmine Press,Landmine Press,Landmine Press,movement,weights,strength; weights,strength,,,Landmine · Barbell,frontDelts; chest; triceps,vertical_push,resistance_dynamic,tempo_reps,4,10,reps,90,true,true,2.5,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,,"The angle keeps the shoulder out of full overhead, so it survives most overhead restrictions."
51,pike_push_up,Pike Push-Up,Flotări pike,ไพก์พุชอัพ,movement,calisthenics,calisthenics,calisthenics,,,Bodyweight,frontDelts; triceps; sideDelts,vertical_push,resistance_dynamic,tempo_reps,4,9,reps,90,false,false,0,true,false,false,shoulder_overhead; wrist,3,false,true,standard_compound,internally_reviewed,,no,,,,
52,elevated_pike_push_up,Feet-Elevated Pike Push-Up,Feet-Elevated Pike Push-Up,Feet-Elevated Pike Push-Up,movement,calisthenics,calisthenics,calisthenics,,,Bodyweight,frontDelts; triceps,vertical_push,resistance_dynamic,tempo_reps,4,8,reps,90,false,false,0,true,false,false,shoulder_overhead; wrist,4,false,true,standard_compound,internally_reviewed,,no,,,Pike Pushups (feet on chair),
53,handstand_push_up,Handstand Push-Up,Flotări în stând pe mâini,วิดพื้นแฮนด์สแตนด์,movement,calisthenics,street; calisthenics,calisthenics,,,Wall,frontDelts; triceps; abs; obliques; sideDelts; upperBack,vertical_push,resistance_dynamic,tempo_reps,4,6,reps,120,false,false,0,false,false,false,shoulder_overhead; wrist,5,true,true,standard_compound,internally_reviewed,,no,,,,
54,barbell_row,Barbell Row,Ramat cu bara,บาร์เบลโรว์,movement,weights,strength; weights,strength,,,Barbell · Plates,lats; upperBack; biceps; lowerBack; rearDelts,horizontal_pull,resistance_dynamic,tempo_reps,4,8,reps,120,false,true,2.5,true,false,false,lumbar_flexion,4,false,true,standard_compound,internally_reviewed,,no,,,,
55,one_arm_dumbbell_row,One-Arm Dumbbell Row,Ramat cu o ganteră,ดัมเบลโรว์ข้างเดียว,movement,weights,strength; weights,strength,,,Dumbbells · Bench,lats; upperBack; biceps; rearDelts,horizontal_pull,resistance_dynamic,tempo_reps,4,12,reps,60,true,true,2,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,One-Arm Supported Dumbbell Row,
56,chest_supported_row,Chest-Supported Dumbbell Row,Chest-Supported Dumbbell Row,Chest-Supported Dumbbell Row,movement,weights,strength; weights,strength,,,Dumbbells · Adjustable Bench,upperBack; lats; biceps,horizontal_pull,resistance_dynamic,tempo_reps,4,10,reps,60,false,true,2,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,,"The back works without the lower back paying for it, which is why it survives most lumbar restrictions."
57,machine_row,Chest-Supported Machine Row,Ramat la aparat cu pieptul sprijinit,เครื่องพายพิงอก,movement,machine,strength; machine,strength,,,Row Machine,upperBack; lats; biceps; rearDelts,horizontal_pull,resistance_dynamic,tempo_reps,4,10,reps,60,false,true,2.5,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,back machine rows; machine rows,
58,t_bar_row,Chest-Supported T-Bar Row,Chest-Supported T-Bar Row,Chest-Supported T-Bar Row,movement,machine,strength; machine,strength,,,T Bar Row Machine,upperBack; lats; biceps,horizontal_pull,resistance_dynamic,tempo_reps,4,9,reps,90,false,true,2.5,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,,
59,cable_row,Seated Cable Row,Ramat la cablu din șezut,นั่งพายเคเบิล,movement,machine,strength; machine,strength,,,Cable Stack,lats; upperBack; biceps; rearDelts,horizontal_pull,resistance_dynamic,tempo_reps,4,13,reps,60,false,true,2.5,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,machine row,
60,single_arm_cable_row,Single-Arm Cable Row,Single-Arm Cable Row,Single-Arm Cable Row,movement,machine,strength; machine,strength,,,Cable Stack,lats; upperBack; biceps,horizontal_pull,resistance_dynamic,tempo_reps,4,12,reps,60,true,true,1,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,,
61,inverted_row,Inverted Row,Ramat invers,อินเวิร์ทโรว์,movement,machine,strength; calisthenics; machine; weights,calisthenics; strength,,,Bodyweight,upperBack; lats; biceps; abs; obliques; rearDelts,horizontal_pull,resistance_dynamic,tempo_reps,4,12,reps,60,false,false,0,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,australian_pull_up; ring_row,"Foot position is the load dial, which makes it the most scalable pull for a beginner."
62,band_row,Band Row,Band Row,Band Row,movement,strength,strength,strength,,,Bands,upperBack; lats; biceps,horizontal_pull,resistance_dynamic,tempo_reps,4,16,reps,60,false,true,0,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,,
63,backpack_row,Backpack Row,Backpack Row,Backpack Row,movement,weights,strength; weights,strength,,,Backpack,lats; upperBack; biceps,horizontal_pull,resistance_dynamic,tempo_reps,4,12,reps,60,false,true,2.5,true,false,false,lumbar_flexion,2,false,true,standard_compound,internally_reviewed,,no,,,,
64,pull_up,Pull-Up,Tracțiuni la bară,ดึงข้อ,movement,calisthenics,strength; calisthenics,calisthenics; strength,,,Pull Up Bar,lats; biceps; upperBack; forearms,vertical_pull,resistance_dynamic,tempo_reps,4,8,reps,90,false,true,2.5,true,false,false,,3,false,true,standard_compound,internally_reviewed,,no,,,Pull-Ups; Pull-Ups (different grip than Wed),
65,chin_up,Chin-Up,Tracțiuni cu priză inversă,ชินอัพ,movement,calisthenics,strength; calisthenics,calisthenics; strength,,,Pull Up Bar,lats; biceps; upperBack; forearms,vertical_pull,resistance_dynamic,tempo_reps,4,8,reps,90,false,true,2.5,true,false,false,elbow,3,false,true,standard_compound,internally_reviewed,,no,,,,
66,band_assisted_pull_up,Band-Assisted Pull-Up,Band-Assisted Pull-Up,Band-Assisted Pull-Up,movement,calisthenics,strength; calisthenics,calisthenics; strength,,,Pull Up Bar · Bands,lats; biceps,vertical_pull,resistance_dynamic,tempo_reps,4,8,reps,60,false,false,0,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,Band-Assisted Pull-Up · Alternate Grip,"The honest bridge to a first pull-up: the band unloads the bottom, which is where it fails."
67,lat_pulldown,Neutral-Grip Lat Pulldown,Tracțiuni la helcometru,ดึงข้อด้วยสายเคเบิล,movement,machine,strength; machine,strength,,,Lat Pulldown Machine,lats; biceps; upperBack,vertical_pull,resistance_dynamic,tempo_reps,4,10,reps,60,false,true,2.5,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,Neutral-Grip Lat Pulldown,
68,band_lat_pulldown,Band Lat Pulldown,Band Lat Pulldown,Band Lat Pulldown,movement,strength,strength,strength,,,Bands · Anchor Point,lats; biceps,vertical_pull,resistance_dynamic,tempo_reps,4,13,reps,60,false,true,0,true,false,false,,1,false,true,standard_compound,internally_reviewed,,no,,,Prone Lat Sweep,
69,dead_hang,Dead Hang,Dead Hang,Dead Hang,movement,calisthenics,calisthenics; mobility,calisthenics; mobility,,,Pull Up Bar,forearms; lats,vertical_pull,resistance_isometric,hold,3,30,seconds,60,false,false,0,true,false,false,,1,false,false,standard_compound,internally_reviewed,,no,,,Dead Hangs,Grip and shoulder decompression. Often the first honest step for someone who cannot yet pull.
70,scapular_pull_up,Scapular Pull-Up,Scapular Pull-Up,Scapular Pull-Up,movement,calisthenics,calisthenics,calisthenics,,,Pull Up Bar,lats,vertical_pull,resistance_dynamic,tempo_reps,3,8,reps,60,false,false,0,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,Hanging Scapular Depression,
71,muscle_up_practice,Muscle-Up Transition Practice,Muscle-up la bară,บาร์มัสเซิลอัพ,movement,calisthenics,street; calisthenics,calisthenics,,,Pull Up Bar,lats; chest; triceps; abs; obliques; upperBack; biceps; forearms,skill,skill_drill,quality,4,3,reps,90,false,false,0,true,false,false,,5,true,false,standard_compound,internally_reviewed,,no,,,Muscle-Up Transition Practice,
72,suitcase_carry,Suitcase Carry,Suitcase Carry,Suitcase Carry,movement,weights,strength; weights,strength,,,Dumbbells · Floor Space,obliques; forearms; neckTraps; glutes,carry,resistance_isometric,carry,4,38,seconds,60,true,true,2,true,false,false,,1,false,false,loaded_carry,internally_reviewed,,no,,,Suitcase Hold or March,The most transferable thing in the library: this is carrying the shopping.
73,farmers_carry,Farmer's Carry,Mersul fermierului,ฟาร์เมอร์แคร์รี,movement,weights,hyrox; strength; weights,strength,6,Farmer's Carry,Dumbbells · Floor Space,forearms; neckTraps; abs; obliques; glutes,carry,resistance_isometric,carry,4,45,seconds,90,false,true,2,true,false,false,,1,false,false,loaded_carry,internally_reviewed,,no,,,,
74,plank,Plank,Plank,Plank,movement,calisthenics,strength; calisthenics; yoga,calisthenics; strength; yoga,,,Bodyweight,abs; obliques; frontDelts,core_anti_extension,resistance_isometric,hold,4,40,seconds,60,false,false,0,true,false,false,,1,false,false,core_braced,internally_reviewed,,no,,,Gimbal Front Hold,
